round,steps,steps_this_call,eps,tb_loss,behaviour_return,behaviour_success
1,2400,2400,0.5,4473.285215568542,2.375,0.25
2,4800,4800,0.4928,159.68650176525117,10.625,0.375
3,7200,7200,0.4856,18.893666100502013,25.0,0.5
4,9600,9600,0.4784,19.43243924379349,5.0,0.375
5,12000,12000,0.4712,4.154332235455513,13.0,0.375
6,14400,14400,0.46399999999999997,5.77830924987793,35.75,0.5
7,16800,16800,0.4568,12.01590416431427,17.125,0.5
8,19200,19200,0.4496,21.183478236198425,22.0,0.5
9,21600,21600,0.4424,19.76104393005371,10.25,0.375
10,24000,24000,0.43520000000000003,15.709855830669403,7.625,0.375
11,26400,26400,0.428,11.170145642757415,12.25,0.25
12,28800,28800,0.4208,14.755732214450836,26.5,0.5
13,31200,31200,0.41359999999999997,20.182308197021484,15.0,0.375
14,33600,33600,0.4064,11.798683691024781,24.875,0.5
15,36000,36000,0.3992,8.443727678060531,9.875,0.375
16,38400,38400,0.392,8.214247453212739,8.875,0.375
17,40800,40800,0.3848,14.049641704559326,24.25,0.375
18,43200,43200,0.3776,13.205775570869445,13.375,0.25
19,45600,45600,0.3704,9.47136869430542,14.25,0.375
20,48000,48000,0.36319999999999997,13.061290431022645,22.125,0.375
21,50400,50400,0.356,13.269977378845216,32.125,0.375
22,52800,52800,0.3488,12.754550123214722,30.25,0.75
23,55200,55200,0.3416,11.686581349372863,18.875,0.5
24,57600,57600,0.33440000000000003,15.991306686401368,14.0,0.25
25,60000,60000,0.3272,12.493284869194031,35.875,0.75
26,62400,62400,0.31999999999999995,12.78387645483017,16.125,0.5
27,64800,64800,0.31279999999999997,11.431397414207458,25.0,0.5
28,67200,67200,0.3056,16.177160358428956,45.5,0.625
29,69600,69600,0.2984,17.398097944259643,61.5,0.625
30,72000,72000,0.2912,8.152862930297852,48.0,1.0
31,74400,74400,0.28400000000000003,18.906217861175538,10.625,0.25
32,76800,76800,0.2768,12.748325777053832,28.625,0.625
33,79200,79200,0.26959999999999995,13.485937213897705,38.5,0.75
34,81600,81600,0.26239999999999997,11.794667410850526,41.875,0.625
35,84000,84000,0.2552,17.332707381248476,16.75,0.625
36,86400,86400,0.24799999999999994,11.50498833656311,22.0,0.625
37,88800,88800,0.24080000000000001,26.63294279575348,11.0,0.5
38,91200,91200,0.23360000000000003,16.296876502037048,18.0,0.25
39,93600,93600,0.2264,11.26562659740448,29.125,0.75
40,96000,96000,0.2192,11.17092604637146,16.375,0.5
41,98400,98400,0.21199999999999997,10.334715008735657,27.125,0.625
42,100800,100800,0.20479999999999998,8.212646782398224,23.5,0.625
43,103200,103200,0.1976,11.449163246154786,24.0,0.625
44,105600,105600,0.1904,13.748629379272462,10.125,0.375
45,108000,108000,0.18320000000000003,13.502413892745972,21.0,0.5
46,110400,110400,0.176,12.749261808395385,22.75,0.625
47,112800,112800,0.1688,17.947626161575318,2.125,0.125
48,115200,115200,0.16159999999999997,13.877387237548827,26.75,0.625
49,117600,117600,0.15439999999999998,11.424293708801269,23.0,0.5
50,120000,120000,0.1472,26.595242810249328,22.5,0.625
51,122400,122400,0.13999999999999996,11.662213993072509,8.75,0.375
52,124800,124800,0.13280000000000003,11.591701745986938,18.5,0.5
53,127200,127200,0.1256,14.246054697036744,12.5,0.375
54,129600,129600,0.1184,17.71569001674652,29.875,0.5
55,132000,132000,0.11120000000000002,13.792260146141052,49.875,0.5
56,134400,134400,0.10399999999999998,11.037331438064575,34.375,0.875
57,136800,136800,0.0968,18.503499031066895,24.875,0.5
58,139200,139200,0.08959999999999996,11.777183651924133,36.0,0.5
59,141600,141600,0.08239999999999997,12.764117121696472,25.875,0.75
60,144000,144000,0.07519999999999999,12.848364472389221,24.375,0.75
61,146400,146400,0.068,11.267099809646606,52.25,0.75
62,148800,148800,0.06080000000000002,22.01482434272766,36.375,0.625
63,151200,151200,0.05359999999999998,20.984748792648315,35.375,0.5
64,153600,153600,0.04999999999999999,20.134957599639893,14.75,0.625
65,156000,156000,0.04999999999999999,12.179808259010315,36.375,0.625
66,158400,158400,0.04999999999999999,14.37268087863922,25.625,0.625
67,160800,160800,0.04999999999999999,14.130778074264526,25.125,0.625
68,163200,163200,0.04999999999999999,9.532665705680847,27.25,0.75
69,165600,165600,0.04999999999999999,10.676525831222534,35.375,0.75
70,168000,168000,0.04999999999999999,15.478985905647278,21.375,0.5
71,170400,170400,0.04999999999999999,12.84862903356552,13.875,0.5
72,172800,172800,0.04999999999999999,13.753484773635865,50.5,0.625
73,175200,175200,0.04999999999999999,18.477967953681947,40.375,0.75
74,177600,177600,0.04999999999999999,18.861548614501952,23.625,0.375
75,180000,180000,0.04999999999999999,13.547290015220643,16.125,0.5
76,182400,182400,0.04999999999999999,17.4887761592865,40.375,0.625
77,184800,184800,0.04999999999999999,55.71761131286621,22.375,0.375
78,187200,187200,0.04999999999999999,18.429935455322266,17.875,0.625
79,189600,189600,0.04999999999999999,10.496071529388427,14.125,0.375
80,192000,192000,0.04999999999999999,26.74027729034424,28.0,0.5
81,194400,194400,0.04999999999999999,14.213062191009522,13.375,0.25
82,196800,196800,0.04999999999999999,17.335212063789367,22.625,0.5
83,199200,199200,0.04999999999999999,16.234248685836793,22.5,0.375
84,201600,201600,0.04999999999999999,17.270250368118287,35.625,0.625
85,204000,204000,0.04999999999999999,20.516330528259278,34.5,0.75
86,206400,206400,0.04999999999999999,20.056600952148436,26.375,0.75
87,208800,208800,0.04999999999999999,14.74453525543213,6.75,0.125
88,211200,211200,0.04999999999999999,11.28394993543625,10.25,0.25
89,213600,213600,0.04999999999999999,12.544616341590881,36.0,0.5
90,216000,216000,0.04999999999999999,19.202421379089355,6.375,0.25
91,218400,218400,0.04999999999999999,12.988061928749085,71.875,0.875
92,220800,220800,0.04999999999999999,15.442185997962952,41.25,0.5
93,223200,223200,0.04999999999999999,19.014865350723266,32.625,0.5
94,225600,225600,0.04999999999999999,16.229841232299805,25.0,0.625
95,228000,228000,0.04999999999999999,22.655242204666138,16.375,0.5
96,230400,230400,0.04999999999999999,13.432039093971252,18.375,0.5
97,232800,232800,0.04999999999999999,11.250269913673401,17.25,0.5
98,235200,235200,0.04999999999999999,12.727811908721923,9.25,0.375
99,237600,237600,0.04999999999999999,16.40567226409912,27.25,0.5
100,240000,240000,0.04999999999999999,21.3516774892807,26.625,0.875
101,242400,242400,0.04999999999999999,12.869129061698914,21.5,0.75
102,244800,244800,0.04999999999999999,13.76023964881897,32.25,0.5
103,247200,247200,0.04999999999999999,15.182095336914063,44.75,0.75
104,249600,249600,0.04999999999999999,19.765132308006287,22.25,0.625
105,252000,252000,0.04999999999999999,14.734026789665222,36.25,0.625
106,254400,254400,0.04999999999999999,10.857978820800781,15.125,0.5
107,256800,256800,0.04999999999999999,16.82221293449402,24.75,0.5
108,259200,259200,0.04999999999999999,21.2431999206543,22.625,0.5
109,261600,261600,0.04999999999999999,13.805623435974121,21.0,0.5
110,264000,264000,0.04999999999999999,12.937873482704163,24.625,0.625
111,266400,266400,0.04999999999999999,15.403877592086792,39.75,0.75
112,268800,268800,0.04999999999999999,12.583598375320435,20.625,0.5
113,271200,271200,0.04999999999999999,10.208064794540405,23.625,0.625
114,273600,273600,0.04999999999999999,7.935585558414459,47.125,1.0
115,276000,276000,0.04999999999999999,10.450447940826416,36.5,0.625
116,278400,278400,0.04999999999999999,13.268932735919952,47.0,0.75
117,280800,280800,0.04999999999999999,10.860226655006409,36.5,0.875
118,283200,283200,0.04999999999999999,12.260649847984315,25.5,0.5
119,285600,285600,0.04999999999999999,17.403369903564453,51.75,0.875
120,288000,288000,0.04999999999999999,17.53452546596527,32.75,0.375
121,290400,290400,0.04999999999999999,15.548930788040161,20.625,0.375
122,292800,292800,0.04999999999999999,13.511219847202302,53.0,0.875
123,295200,295200,0.04999999999999999,9.668132066726685,50.625,0.75
124,297600,297600,0.04999999999999999,16.534089469909667,33.625,0.625
125,300000,300000,0.04999999999999999,15.998627209663391,1.625,0.25
