episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,176.0,True,300,125,4.054981965223594,3.095682468513899,"(1.0938206944420876, 1.1084305835405575)","(-1.1457343702490923, -0.9784915915009608)",0.763426938778802
1,1000001,268.0,True,300,33,0.8623013292879484,0.815569415042095,"(0.8605997569441359, 1.1057251651621436)","(1.237816417321165, -0.09670526035437693)",0.9458055871438321
2,1000002,247.0,True,300,54,2.1536273614285824,2.059329650158614,"(0.8359135992463929, 1.1736887974995112)","(0.1766902921978361, -1.1585889373779077)",0.9562144719375143
3,1000003,0.0,False,300,,1.9034925612427245,3.87974562783416,"(-0.9598456426023949, -0.7915939768646133)","(-0.9598625799245601, 1.0096244610355893)",
4,1000004,236.0,True,300,65,1.4823552545952041,1.2162277660168375,"(-0.7917247332805528, 0.8198842512640626)","(0.8346953727414063, 1.0258664000726552)",0.820469831537758
5,1000005,0.0,False,300,,1.9320518164202092,0.4814506779490629,"(-0.23241542450153935, -1.2014336018905007)","(-1.0454622785911933, -0.7743742410624596)",
6,1000006,54.0,True,300,88,3.244976865187045,2.86523232475967,"(-1.1865196335989603, 1.1706863397654685)","(1.0997990383079492, -0.7871924849505308)",0.8829746539948026
7,1000007,264.0,True,300,37,0.9924893732463221,0.8331138830084193,"(-0.030551318519921933, -1.0853470175863116)","(1.2350278120873528, -1.2228459924107467)",0.8394184416135324
8,1000008,273.0,True,300,28,0.7853801347280196,0.47500000000000014,"(0.22919028831684157, -0.978780669133515)","(1.1364836377412635, -1.0660573439834964)",0.6048026668824449
9,1000009,0.0,False,300,,3.461901212141652,1.9742034597780158,"(1.217327525646871, -0.0688755632060411)","(-0.9682839665427542, -0.9377910309245894)",
10,1000010,255.0,True,300,46,0.8031105716109906,0.42905694150420953,"(0.8584736852588637, -0.9968432980483453)","(-0.0055025996658442655, -1.150090110875475)",0.534243921909218
11,1000011,240.0,True,300,61,1.7267274839115876,1.6351862539117181,"(-0.7592416353990135, 0.9570179489076839)","(1.0758239637207863, 0.10741224428127782)",0.946985710916873
12,1000012,277.0,True,300,24,0.4185380211656904,0.4048759228251127,"(0.9489201760756624, -1.0553439819456882)","(1.1935661960768802, -0.2406163518161245)",0.9673575693254183
13,1000013,0.0,False,300,,2.978531710546953,3.091625527009689,"(1.0554037161104208, 1.1622096894297287)","(-1.0781456492369095, -1.0860057868597162)",
14,1000014,261.0,True,300,39,0.32782152743207676,0.24999999999999997,"(1.224635635577469, 0.760193369771347)","(1.147925776889568, 0.0680756157044109)",0.7626100761543152
15,1000015,13.0,True,300,167,2.06832472509177,0.5452847075210474,"(-0.9725083733849845, -0.9607257868674003)","(-0.009748253399239959, -0.7549766751993947)",0.26363592762101395
16,1000016,210.0,True,300,91,2.3694231761404194,2.238395196571477,"(-1.1727966717779492, -1.242221153220541)","(0.9364763689933231, 0.14355353307265117)",0.9447004735632005
17,1000017,165.0,True,300,38,0.7276662310417403,0.6000000000000002,"(0.13217183237761515, 0.7612787328431239)","(1.1514724220080352, 0.8291942492773791)",0.8245538605536623
18,1000018,209.0,True,300,92,2.3656668941408276,2.3354866969255,"(-0.7789836384702132, -0.7500078160277028)","(0.8359879712703817, 0.7877127318758786)",0.9872424146907256
19,1000019,234.0,True,300,67,2.0581973895155854,1.8767144629423402,"(-0.09347463811983076, 0.7687442939396321)","(0.8840994750280944, -0.996015294111607)",0.911824333517419
20,1000020,231.0,True,300,70,2.453391406780984,1.8960357139169721,"(0.957021565837876, 0.8403232385934718)","(-0.053626490787756, -1.1533162415829064)",0.7728223505945591
21,1000021,184.0,True,300,86,2.309321139915029,2.107480037106538,"(-1.0920099191105077, -1.0479596860765703)","(1.109612802196493, 0.010429365241071908)",0.912597213388902
22,1000022,6.0,True,300,230,3.413367553108394,2.0687612102800825,"(1.1303234849854376, 1.0934008202364405)","(-0.10218309813274767, -0.8960256703351812)",0.6060763097124301
23,1000023,0.0,False,300,,1.8433587104836888,2.832797715253761,"(0.10571894219860428, 0.8177355912335362)","(-0.8960589739141526, -1.1370952266754706)",
24,1000024,233.0,True,300,68,1.7807741725910806,1.641227766016836,"(1.117756415850815, 1.1439159353762745)","(-0.9379632959449571, 0.9540394460031347)",0.9216372245722767
25,1000025,224.0,True,300,77,1.2919644072422924,1.0050917787211613,"(-0.16717286488974165, -0.9953637620071333)","(1.0500469609556422, -0.22735132223226806)",0.7779562448369124
26,1000026,226.0,True,300,75,1.946504073623119,1.7040569415042075,"(1.0681490916332572, 0.8023239819013355)","(-1.0597684340895965, 0.922936061695784)",0.8754448370263961
27,1000027,35.0,True,300,12,0.21172641264081551,0.17905694150420948,"(0.9925404832229593, -0.24398983740277141)","(1.1517841687991628, -0.8503876403944852)",0.8456995953923409
28,1000028,220.0,True,300,81,2.160606968520567,1.8985157486116178,"(0.8942404732929252, 0.13363081788938336)","(-1.1408042861046577, 1.0446560197333312)",0.8786955592907252
29,1000029,0.0,False,300,,2.5073319545974604,1.428398590529465,"(1.0497726414055228, -1.1449807279698316)","(-0.7876500410048815, -0.8911451121218853)",
30,1000030,234.0,True,300,67,1.2842234464397102,1.0579912177625654,"(-0.12111508120063519, 0.904708520206666)","(0.7757263883211754, -0.12024302267869652)",0.8238373319656054
31,1000031,228.0,True,300,73,2.4339454145243185,2.224038774053281,"(1.1595639445214367, -1.139432500713627)","(-0.1969547814181622, 0.9282279514688769)",0.9137586902243406
32,1000032,0.0,False,300,,4.682578455532276,3.0158906757344113,"(1.127015191898848, 0.9377934621741972)","(-1.202106102787887, -0.9427688623446786)",
33,1000033,0.0,False,300,,2.287842391030192,2.8695111538007714,"(0.2382092218779729, 0.8804726047675387)","(-1.110256687954068, -0.7631361687818161)",
34,1000034,242.0,True,300,59,1.8700647162047834,1.5581138830084174,"(-0.9343054138344531, -0.9356294915617984)","(1.0535262915187014, -1.0978259253583562)",0.8331871456141599
35,1000035,70.0,True,300,24,0.5786089100845215,0.4500000000000001,"(1.1508173939223743, -0.01713559225674488)","(1.085568192491471, -0.9085342543134849)",0.7777273943712091
36,1000036,0.0,False,300,,0.6736903792406517,4.425030335355206,"(-1.2420508318574908, -0.8800458536382145)","(-1.194808250893988, 1.0068844947590878)",
37,1000037,0.0,False,300,,2.545268560737446,2.584828345950756,"(0.9280548547889936, -1.0268893052516816)","(-0.7565518922329351, 0.8364769636259789)",
38,1000038,197.0,True,300,104,3.151411425112171,3.0679422289591733,"(-1.099000760750412, -0.8564670737783278)","(0.93786753697942, 1.1653022223159974)",0.9735137102417445
39,1000039,273.0,True,300,28,0.745421258836957,0.4472135954999579,"(0.04242921454432569, 0.8118181357047414)","(-0.7531921064073427, 1.1914761385722317)",0.599947466212223
40,1000040,0.0,False,300,,2.3166351240878362,1.929578270956174,"(0.16056901378171806, -1.2480919963299688)","(0.22582239227562423, 0.7760342264230129)",
41,1000041,126.0,True,300,19,0.4593585614957929,0.4312658056650537,"(0.7536758678282087, 0.10227430201681043)","(1.1934918380352553, 0.8551017493914017)",0.9388435131387085
42,1000042,233.0,True,300,68,0.7761824943229142,0.5290569415042096,"(0.863680742414508, 1.1242738835596315)","(-0.09846036753712106, 1.0701441636854137)",0.68161411185358
43,1000043,175.0,True,300,92,1.911947119884931,1.7025334442632447,"(-0.9798879296490071, -1.1309143411407538)","(0.8419666733991373, -0.1633305088724164)",0.890470989786428
44,1000044,184.0,True,300,77,2.0438747093727527,1.6283985905294642,"(-1.110557821847047, -1.2071364590562874)","(0.9443986848493842, -0.9623687068420197)",0.796721336715011
45,1000045,80.0,True,300,9,0.10649589280589311,0.1,"(1.0726963432631704, 0.23924604646735848)","(1.0640344413491138, 0.7878579809705415)",0.9390033490048957
46,1000046,277.0,True,300,24,0.4185380211656903,0.39122776601683795,"(0.7872095128447305, -0.9967604025353909)","(0.943208907546812, -0.18275209427435113)",0.9347484487244689
47,1000047,261.0,True,300,40,0.7890160011196481,0.6883572314711708,"(-0.15732890712204894, 1.0262179304247099)","(-1.2478957355644622, 0.7738044655417053)",0.8724249324403585
48,1000048,0.0,False,300,,2.347758464541834,2.7925748033215356,"(-0.8456534783543095, 0.9989679160198354)","(0.08865011135674389, -0.8892944427992356)",
49,1000049,229.0,True,300,72,1.8219411139974138,1.7494390718535588,"(-1.0546670218056766, 0.7713043058644282)","(0.8298303562848478, 0.11222652975086217)",0.9602061550799617
50,1000050,256.0,True,300,45,0.9168335993494908,0.8250000000000004,"(0.13506370973920157, 1.1186056696134634)","(-1.1315249684797557, 1.010403758474146)",0.8998361322985459
51,1000051,250.0,True,300,51,1.8885280628313217,1.8499999999999974,"(0.8273866226150823, -1.1315270489588427)","(0.9256943780726385, 1.1556758171212578)",0.9795988931329078
52,1000052,92.0,True,300,209,2.3001156025007017,1.520284707521046,"(-0.9994142129924646, 1.0690896845722366)","(0.9268718232174256, 0.8319793128108302)",0.6609601299465913
