round,steps,steps_this_call,eps,tb_loss,behaviour_return,behaviour_success
1,2400,2400,0.5,4182.132039821148,0.0,0.0
2,4800,4800,0.4928,1510.10053691864,12.5,0.375
3,7200,7200,0.4856,11.179584765434265,15.0,0.375
4,9600,9600,0.4784,3.686741937696934,12.625,0.25
5,12000,12000,0.4712,13.565680968761445,12.375,0.25
6,14400,14400,0.46399999999999997,9.167096030712127,5.5,0.25
7,16800,16800,0.4568,5.399779093265534,47.5,0.625
8,19200,19200,0.4496,11.666038274765015,9.75,0.375
9,21600,21600,0.4424,38.65617008209229,7.375,0.25
10,24000,24000,0.43520000000000003,26.76800513267517,3.5,0.25
11,26400,26400,0.428,7.228147614002228,7.75,0.25
12,28800,28800,0.4208,15.114489150047302,23.875,0.25
13,31200,31200,0.41359999999999997,20.224916338920593,13.125,0.5
14,33600,33600,0.4064,12.65765335559845,4.25,0.25
15,36000,36000,0.3992,8.14574262201786,22.5,0.5
16,38400,38400,0.392,9.159780180454254,14.25,0.5
17,40800,40800,0.3848,11.788221383094788,22.375,0.375
18,43200,43200,0.3776,6.691566252708435,18.125,0.625
19,45600,45600,0.3704,7.7555877566337585,30.125,0.625
20,48000,48000,0.36319999999999997,8.92053701877594,29.0,0.875
21,50400,50400,0.356,14.111744952201843,36.625,0.5
22,52800,52800,0.3488,16.438261485099794,17.625,0.375
23,55200,55200,0.3416,12.327475762367248,22.125,0.375
24,57600,57600,0.33440000000000003,28.983976769447327,12.25,0.375
25,60000,60000,0.3272,22.521765089035036,12.875,0.375
26,62400,62400,0.31999999999999995,7.852553057670593,27.875,0.625
27,64800,64800,0.31279999999999997,13.054107975959777,22.25,0.625
28,67200,67200,0.3056,13.358357286453247,33.0,0.5
29,69600,69600,0.2984,11.23841896057129,7.75,0.25
30,72000,72000,0.2912,13.349300813674926,27.875,0.5
31,74400,74400,0.28400000000000003,14.96213676929474,22.5,0.5
32,76800,76800,0.2768,16.02051000595093,40.5,0.625
33,79200,79200,0.26959999999999995,10.2434516787529,21.0,0.625
34,81600,81600,0.26239999999999997,17.03210381269455,42.375,0.625
35,84000,84000,0.2552,19.439397120475768,43.5,0.5
36,86400,86400,0.24799999999999994,13.92344309091568,19.0,0.375
37,88800,88800,0.24080000000000001,15.442790126800537,37.375,0.5
38,91200,91200,0.23360000000000003,13.439979314804077,20.875,0.5
39,93600,93600,0.2264,35.011122941970825,7.75,0.375
40,96000,96000,0.2192,10.697407650947572,43.0,0.75
41,98400,98400,0.21199999999999997,10.553667950630189,33.75,0.875
42,100800,100800,0.20479999999999998,14.666293478012085,16.0,0.625
43,103200,103200,0.1976,17.09598627090454,18.0,0.375
44,105600,105600,0.1904,16.531097316741942,14.375,0.25
45,108000,108000,0.18320000000000003,9.800891262292861,34.625,0.625
46,110400,110400,0.176,11.060100436210632,33.875,0.75
