episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,28.0,True,300,155,3.7977972406527947,3.095682468513899,"(1.0938206944420876, 1.1084305835405575)","(-1.1457343702490923, -0.9784915915009608)",0.8151257880164737
1,1000001,125.0,True,300,51,1.3449523451258343,0.815569415042095,"(0.8605997569441359, 1.1057251651621436)","(1.237816417321165, -0.09670526035437693)",0.6063927974829398
2,1000002,60.0,True,300,80,3.3277520192908123,2.059329650158614,"(0.8359135992463929, 1.1736887974995112)","(0.1766902921978361, -1.1585889373779077)",0.6188350689056105
3,1000003,15.0,True,300,127,4.62232997660394,3.87974562783416,"(-0.9598456426023949, -0.7915939768646133)","(-0.9598625799245601, 1.0096244610355893)",0.83934847738513
4,1000004,45.0,True,300,34,1.2871180667122963,1.2162277660168375,"(-0.7917247332805528, 0.8198842512640626)","(0.8346953727414063, 1.0258664000726552)",0.9449232339061676
5,1000005,131.0,True,300,54,1.5527832902923533,0.4814506779490629,"(-0.23241542450153935, -1.2014336018905007)","(-1.0454622785911933, -0.7743742410624596)",0.3100565809530426
6,1000006,45.0,True,300,104,4.25099084747954,2.86523232475967,"(-1.1865196335989603, 1.1706863397654685)","(1.0997990383079492, -0.7871924849505308)",0.6740151714178586
7,1000007,257.0,True,300,27,0.9667698333867012,0.8331138830084193,"(-0.030551318519921933, -1.0853470175863116)","(1.2350278120873528, -1.2228459924107467)",0.861749978368615
8,1000008,200.0,True,300,22,0.726316809962423,0.47500000000000014,"(0.22919028831684157, -0.978780669133515)","(1.1364836377412635, -1.0660573439834964)",0.653984588384475
9,1000009,26.0,True,300,230,7.7855357150369855,1.9742034597780158,"(1.217327525646871, -0.0688755632060411)","(-0.9682839665427542, -0.9377910309245894)",0.25357323272758725
10,1000010,105.0,True,300,37,0.7965980877501307,0.42905694150420953,"(0.8584736852588637, -0.9968432980483453)","(-0.0055025996658442655, -1.150090110875475)",0.538611563474895
11,1000011,18.0,True,300,193,2.7568337256095607,1.6351862539117181,"(-0.7592416353990135, 0.9570179489076839)","(1.0758239637207863, 0.10741224428127782)",0.5931392374961474
12,1000012,101.0,True,300,194,1.6813069735248718,0.4048759228251127,"(0.9489201760756624, -1.0553439819456882)","(1.1935661960768802, -0.2406163518161245)",0.24081023227798046
13,1000013,122.0,True,300,125,3.65153688313537,3.091625527009689,"(1.0554037161104208, 1.1622096894297287)","(-1.0781456492369095, -1.0860057868597162)",0.846664192627594
14,1000014,45.0,True,300,244,0.5718195666967045,0.24999999999999997,"(1.224635635577469, 0.760193369771347)","(1.147925776889568, 0.0680756157044109)",0.43720084893947153
15,1000015,32.0,True,300,22,0.5926275957017959,0.5452847075210474,"(-0.9725083733849845, -0.9607257868674003)","(-0.009748253399239959, -0.7549766751993947)",0.9201135949049343
16,1000016,41.0,True,300,254,4.556533994926161,2.238395196571477,"(-1.1727966717779492, -1.242221153220541)","(0.9364763689933231, 0.14355353307265117)",0.4912495328826687
