round,steps,steps_this_call,eps,tb_loss,behaviour_return,behaviour_success
1,2400,2400,0.5,4457.920284843445,7.625,0.25
2,4800,4800,0.4928,297.1715559005737,0.0,0.0
3,7200,7200,0.4856,19.32674287557602,0.0,0.0
4,9600,9600,0.4784,3.7379673063755035,0.0,0.0
5,12000,12000,0.4712,5.0542291641235355,0.0,0.0
6,14400,14400,0.46399999999999997,4.5765506118536,12.75,0.125
7,16800,16800,0.4568,8.60487421154976,0.0,0.0
8,19200,19200,0.4496,6.256792789697647,2.125,0.125
9,21600,21600,0.4424,8.910291910171509,1.375,0.125
10,24000,24000,0.43520000000000003,5.358768764138222,3.0,0.125
11,26400,26400,0.428,4.606253081560135,0.5,0.125
12,28800,28800,0.4208,8.941985112428664,0.0,0.0
13,31200,31200,0.41359999999999997,7.200101119279862,0.0,0.0
14,33600,33600,0.4064,6.672948694229126,1.25,0.125
15,36000,36000,0.3992,3.6278864577412606,0.0,0.0
16,38400,38400,0.392,2.276811072230339,0.0,0.0
17,40800,40800,0.3848,2.3108349800109864,0.0,0.0
18,43200,43200,0.3776,13.82600595355034,0.0,0.0
19,45600,45600,0.3704,5.291862660646439,0.875,0.125
20,48000,48000,0.36319999999999997,3.3059592664241793,0.0,0.0
21,50400,50400,0.356,2.3272595584392546,0.0,0.0
22,52800,52800,0.3488,4.137755614519119,0.0,0.0
23,55200,55200,0.3416,3.6620512813329698,5.375,0.125
24,57600,57600,0.33440000000000003,2.040603664517403,0.0,0.0
25,60000,60000,0.3272,4.903838682174682,0.0,0.0
26,62400,62400,0.31999999999999995,4.810472130775452,1.75,0.125
27,64800,64800,0.31279999999999997,5.66699121594429,0.625,0.125
28,67200,67200,0.3056,3.8499675154685975,2.375,0.125
29,69600,69600,0.2984,1.6010727018117905,0.0,0.0
30,72000,72000,0.2912,2.3869431525468827,0.0,0.0
31,74400,74400,0.28400000000000003,1.380691359937191,0.25,0.125
32,76800,76800,0.2768,3.8115013882517816,0.0,0.0
33,79200,79200,0.26959999999999995,1.5040871880948543,0.0,0.0
34,81600,81600,0.26239999999999997,4.008763670921326,2.125,0.125
35,84000,84000,0.2552,2.4311991333961487,0.75,0.125
36,86400,86400,0.24799999999999994,5.462964779138565,4.25,0.25
37,88800,88800,0.24080000000000001,3.9545300155878067,4.625,0.125
38,91200,91200,0.23360000000000003,5.205948203802109,0.0,0.0
39,93600,93600,0.2264,5.15022411942482,0.0,0.0
40,96000,96000,0.2192,2.7260821551084518,0.0,0.0
41,98400,98400,0.21199999999999997,4.409135112166405,2.25,0.125
42,100800,100800,0.20479999999999998,7.2300272464752195,2.25,0.125
43,103200,103200,0.1976,6.5257742524147035,2.125,0.125
44,105600,105600,0.1904,3.501887196302414,0.0,0.0
45,108000,108000,0.18320000000000003,3.0875033020973204,1.0,0.125
46,110400,110400,0.176,6.113889136910439,10.5,0.25
47,112800,112800,0.1688,8.067793953418732,22.5,0.5
48,115200,115200,0.16159999999999997,4.061734849214554,0.0,0.0
49,117600,117600,0.15439999999999998,3.173725590109825,0.0,0.0
50,120000,120000,0.1472,5.944083416461945,0.0,0.0
51,122400,122400,0.13999999999999996,6.753900545835495,0.0,0.0
52,124800,124800,0.13280000000000003,5.941422563791275,0.0,0.0
53,127200,127200,0.1256,5.641315931081772,2.375,0.125
54,129600,129600,0.1184,6.762093988060951,0.0,0.0
55,132000,132000,0.11120000000000002,2.9029727816581725,2.125,0.125
56,134400,134400,0.10399999999999998,3.4028481364250185,14.75,0.5
57,136800,136800,0.0968,6.914816761016846,3.25,0.125
58,139200,139200,0.08959999999999996,5.189869558811187,0.0,0.0
59,141600,141600,0.08239999999999997,5.438081842660904,1.125,0.125
60,144000,144000,0.07519999999999999,7.235032141208649,7.125,0.25
61,146400,146400,0.068,7.867398434877396,0.0,0.0
62,148800,148800,0.06080000000000002,6.640334874391556,3.375,0.125
63,151200,151200,0.05359999999999998,5.261412677168846,0.0,0.0
64,153600,153600,0.04999999999999999,4.840927398204803,0.0,0.0
65,156000,156000,0.04999999999999999,7.617371988296509,7.375,0.25
66,158400,158400,0.04999999999999999,15.460181415081024,0.375,0.125
67,160800,160800,0.04999999999999999,7.89291923046112,4.75,0.25
68,163200,163200,0.04999999999999999,3.3732478499412535,2.875,0.125
69,165600,165600,0.04999999999999999,5.119069385528564,1.25,0.125
70,168000,168000,0.04999999999999999,5.701506814360618,1.625,0.125
71,170400,170400,0.04999999999999999,10.433611702919006,1.625,0.125
72,172800,172800,0.04999999999999999,3.7073969334363936,0.0,0.0
73,175200,175200,0.04999999999999999,10.38609334230423,10.5,0.25
74,177600,177600,0.04999999999999999,3.143965816497803,0.0,0.0
75,180000,180000,0.04999999999999999,3.229824474453926,1.5,0.125
76,182400,182400,0.04999999999999999,4.657367265224456,0.0,0.0
77,184800,184800,0.04999999999999999,6.208782023191452,0.0,0.0
