episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,0.0,False,300,,1.942875586241498,3.095682468513899,"(1.0938206944420876, 1.1084305835405575)","(-1.1457343702490923, -0.9784915915009608)",
1,1000001,252.0,True,300,49,0.9739596462611849,0.815569415042095,"(0.8605997569441359, 1.1057251651621436)","(1.237816417321165, -0.09670526035437693)",0.8373749550845203
2,1000002,221.0,True,300,71,2.093150969392374,2.059329650158614,"(0.8359135992463929, 1.1736887974995112)","(0.1766902921978361, -1.1585889373779077)",0.983841911200711
3,1000003,0.0,False,300,,1.030699984555764,3.87974562783416,"(-0.9598456426023949, -0.7915939768646133)","(-0.9598625799245601, 1.0096244610355893)",
4,1000004,245.0,True,300,56,1.2507476389594743,1.2162277660168375,"(-0.7917247332805528, 0.8198842512640626)","(0.8346953727414063, 1.0258664000726552)",0.9724006091497764
5,1000005,272.0,True,300,29,0.5010258665921712,0.4814506779490629,"(-0.23241542450153935, -1.2014336018905007)","(-1.0454622785911933, -0.7743742410624596)",0.9609297843717074
6,1000006,204.0,True,300,97,3.5324051941367864,2.86523232475967,"(-1.1865196335989603, 1.1706863397654685)","(1.0997990383079492, -0.7871924849505308)",0.8111278766987111
7,1000007,251.0,True,300,50,0.9884551882828818,0.8331138830084193,"(-0.030551318519921933, -1.0853470175863116)","(1.2350278120873528, -1.2228459924107467)",0.8428443624800864
8,1000008,273.0,True,300,28,0.5124933327352855,0.47500000000000014,"(0.22919028831684157, -0.978780669133515)","(1.1364836377412635, -1.0660573439834964)",0.9268413258467666
9,1000009,215.0,True,300,86,2.0894398837685952,1.9742034597780158,"(1.217327525646871, -0.0688755632060411)","(-0.9682839665427542, -0.9377910309245894)",0.9448481744386278
10,1000010,267.0,True,300,34,0.5118842304663923,0.42905694150420953,"(0.8584736852588637, -0.9968432980483453)","(-0.0055025996658442655, -1.150090110875475)",0.8381913643115818
11,1000011,240.0,True,300,61,1.80664093349026,1.6351862539117181,"(-0.7592416353990135, 0.9570179489076839)","(1.0758239637207863, 0.10741224428127782)",0.9050975341030785
12,1000012,274.0,True,300,24,0.487701269128785,0.4048759228251127,"(0.9489201760756624, -1.0553439819456882)","(1.1935661960768802, -0.2406163518161245)",0.8301719688947519
13,1000013,0.0,False,300,,2.9008416740578578,3.091625527009689,"(1.0554037161104208, 1.1622096894297287)","(-1.0781456492369095, -1.0860057868597162)",
14,1000014,276.0,True,300,25,0.3427833928722075,0.24999999999999997,"(1.224635635577469, 0.760193369771347)","(1.147925776889568, 0.0680756157044109)",0.7293235471684653
15,1000015,238.0,True,300,63,0.7375738877466071,0.5452847075210474,"(-0.9725083733849845, -0.9607257868674003)","(-0.009748253399239959, -0.7549766751993947)",0.7392950273591837
16,1000016,214.0,True,300,87,2.398743140299654,2.238395196571477,"(-1.1727966717779492, -1.242221153220541)","(0.9364763689933231, 0.14355353307265117)",0.9331533497545943
17,1000017,258.0,True,300,43,0.6190189652930813,0.6000000000000002,"(0.13217183237761515, 0.7612787328431239)","(1.1514724220080352, 0.8291942492773791)",0.969275633931383
18,1000018,163.0,True,300,138,2.6107405729003164,2.3354866969255,"(-0.7789836384702132, -0.7500078160277028)","(0.8359879712703817, 0.7877127318758786)",0.894568660390093
19,1000019,203.0,True,300,82,2.091377921970306,1.8767144629423402,"(-0.09347463811983076, 0.7687442939396321)","(0.8840994750280944, -0.996015294111607)",0.8973578822015442
