phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
scratch,0,0,21.133333333333333,0.13333333333333333,71.75,0.6037506249872704,70.55725644312999,30
scratch,16800,16800,3.966666666666667,0.16666666666666666,113.6,0.5292702580206001,11.0499908982123,30
scratch,33600,33600,14.733333333333333,0.2,62.333333333333336,0.6448554879417342,37.22525406535038,30
scratch,50400,50400,16.333333333333332,0.36666666666666664,60.72727272727273,0.766539913096171,27.31847086816377,30
scratch,67200,67200,36.13333333333333,0.6,70.16666666666667,0.7044268655722361,49.68294880840761,30
scratch,84000,84000,43.666666666666664,0.6333333333333333,65.63157894736842,0.6888134009267416,48.750832589412454,30
scratch,100800,100800,12.866666666666667,0.3,116.0,0.6011502976937392,27.103547717053107,30
scratch,117600,117600,27.3,0.6,96.5,0.6907134338027876,33.22872666627581,30
scratch,134400,134400,49.13333333333333,0.6333333333333333,129.94736842105263,0.56911595447624,71.02439276626089,30
scratch,151200,151200,25.033333333333335,0.3333333333333333,65.3,0.8111551137903866,51.81830546833036,30
scratch,168000,168000,6.3,0.23333333333333334,86.14285714285714,0.7742896713374503,15.216030566704857,30
scratch,184800,184800,38.2,0.5666666666666667,101.70588235294117,0.5314894805422316,66.39401717957259,30
scratch,201600,201600,14.833333333333334,0.23333333333333334,121.57142857142857,0.7376773462246814,34.127633997961986,30
scratch,218400,218400,37.3,0.6666666666666666,85.45,0.7085802528778531,42.23346442385918,30
scratch,235200,235200,49.666666666666664,0.8,81.16666666666667,0.7026258129540411,55.708807780887,30
scratch,252000,252000,50.56666666666667,0.8,95.25,0.5706900502983497,65.36564706397355,30
scratch,268800,268800,48.666666666666664,0.6666666666666666,73.9,0.6411607201860177,76.69075083977087,30
scratch,285600,285600,51.63333333333333,0.8,82.20833333333333,0.649292482192231,50.89779030047635,30
scratch,300000,300000,55.6,0.9,100.74074074074075,0.5807786073775394,42.31214059084355,30
