phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
finetune,0,0,203.96666666666667,0.8666666666666667,56.42307692307692,0.8980669348453338,89.21283475519355,30
finetune,15000,15000,206.63333333333333,0.8666666666666667,60.84615384615385,0.8772552751706677,89.25920539152494,30
finetune,30000,30000,208.03333333333333,0.8666666666666667,54.76923076923077,0.9191616748546232,93.10042161959916,30
finetune,45000,45000,214.46666666666667,0.8666666666666667,53.0,0.9205163383694559,90.10826183305676,30
finetune,60000,60000,215.0,0.8666666666666667,52.23076923076923,0.9245357341961256,89.58948522047085,30
finetune,75000,75000,215.3,0.9,58.81481481481482,0.9230980176265928,80.89633639034162,30
finetune,90000,90000,218.16666666666666,0.9,57.925925925925924,0.9202637923858261,80.87072840431004,30
finetune,105000,105000,218.16666666666666,0.9,58.592592592592595,0.910196907936851,80.08404349799345,30
finetune,120000,120000,218.4,0.9,58.333333333333336,0.923793933747148,79.59318979704837,30
finetune,135000,135000,215.96666666666667,0.8666666666666667,51.26923076923077,0.930676154199356,89.47374237569726,30
finetune,150000,150000,216.96666666666667,0.8666666666666667,50.65384615384615,0.927320458275302,90.10280845763923,30
finetune,165000,165000,206.86666666666667,0.8333333333333334,52.76,0.9301456697910517,97.35209235069102,30
finetune,180000,180000,215.86666666666667,0.8666666666666667,51.92307692307692,0.9318232360559411,89.12553461012298,30
finetune,195000,195000,220.13333333333333,0.9,56.407407407407405,0.9436591318310744,79.54427668929416,30
finetune,210000,210000,216.0,0.8666666666666667,51.76923076923077,0.9530202719466346,89.09042287628823,30
finetune,225000,225000,208.06666666666666,0.8333333333333334,51.32,0.945898700606743,97.00975185012581,30
finetune,240000,240000,218.56666666666666,0.9,58.148148148148145,0.943894280452808,79.26589184003042,30
finetune,255000,255000,218.96666666666667,0.9,57.7037037037037,0.9459410275644955,79.33190136831867,30
finetune,270000,270000,216.96666666666667,0.9,59.925925925925924,0.9447633202768864,79.24187474210638,30
finetune,285000,285000,214.5,0.8666666666666667,53.5,0.9428509736326318,88.46536435043475,30
finetune,300000,300000,215.6,0.8666666666666667,52.23076923076923,0.943814711723024,88.87635735420149,30
finetune,300000,300000,215.7,0.8666666666666667,52.11538461538461,0.9358608350751946,88.78146358256362,30
