episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,0.0,False,300,,3.1893534366751903,3.095682468513899,"(1.0938206944420876, 1.1084305835405575)","(-1.1457343702490923, -0.9784915915009608)",
1,1000001,259.0,True,300,42,0.9912477269197728,0.815569415042095,"(0.8605997569441359, 1.1057251651621436)","(1.237816417321165, -0.09670526035437693)",0.822770527380088
2,1000002,212.0,True,300,89,2.3358786797647046,2.059329650158614,"(0.8359135992463929, 1.1736887974995112)","(0.1766902921978361, -1.1585889373779077)",0.8816081365861228
3,1000003,168.0,True,300,133,4.669435777137746,3.87974562783416,"(-0.9598456426023949, -0.7915939768646133)","(-0.9598625799245601, 1.0096244610355893)",0.8308810342418613
4,1000004,254.0,True,300,47,1.231902038557892,1.2162277660168375,"(-0.7917247332805528, 0.8198842512640626)","(0.8346953727414063, 1.0258664000726552)",0.9872763644750492
5,1000005,267.0,True,300,34,0.5355486905959265,0.4814506779490629,"(-0.23241542450153935, -1.2014336018905007)","(-1.0454622785911933, -0.7743742410624596)",0.8989858184758764
6,1000006,208.0,True,300,93,3.452532398136406,2.86523232475967,"(-1.1865196335989603, 1.1706863397654685)","(1.0997990383079492, -0.7871924849505308)",0.8298929580809302
7,1000007,271.0,True,300,30,0.8484903467427974,0.8331138830084193,"(-0.030551318519921933, -1.0853470175863116)","(1.2350278120873528, -1.2228459924107467)",0.9818778566033124
8,1000008,278.0,True,300,23,0.5050016830681153,0.47500000000000014,"(0.22919028831684157, -0.978780669133515)","(1.1364836377412635, -1.0660573439834964)",0.9405909245968423
9,1000009,206.0,True,300,95,2.1243773413828224,1.9742034597780158,"(1.217327525646871, -0.0688755632060411)","(-0.9682839665427542, -0.9377910309245894)",0.929309224552803
10,1000010,273.0,True,300,28,0.45855798976610784,0.42905694150420953,"(0.8584736852588637, -0.9968432980483453)","(-0.0055025996658442655, -1.150090110875475)",0.9356656106309572
11,1000011,241.0,True,300,60,1.7174005547941658,1.6351862539117181,"(-0.7592416353990135, 0.9570179489076839)","(1.0758239637207863, 0.10741224428127782)",0.952128639615875
12,1000012,278.0,True,300,23,0.45838427773603074,0.4048759228251127,"(0.9489201760756624, -1.0553439819456882)","(1.1935661960768802, -0.2406163518161245)",0.8832674733627495
13,1000013,0.0,False,300,,2.594494195874529,3.091625527009689,"(1.0554037161104208, 1.1622096894297287)","(-1.0781456492369095, -1.0860057868597162)",
14,1000014,282.0,True,300,19,0.30447020632675176,0.24999999999999997,"(1.224635635577469, 0.760193369771347)","(1.147925776889568, 0.0680756157044109)",0.8210984024220243
15,1000015,274.0,True,300,27,0.5686249075906579,0.5452847075210474,"(-0.9725083733849845, -0.9607257868674003)","(-0.009748253399239959, -0.7549766751993947)",0.95895325766065
16,1000016,218.0,True,300,83,3.0080086932919508,2.238395196571477,"(-1.1727966717779492, -1.242221153220541)","(0.9364763689933231, 0.14355353307265117)",0.7441451886635965
17,1000017,271.0,True,300,30,0.6370602950541605,0.6000000000000002,"(0.13217183237761515, 0.7612787328431239)","(1.1514724220080352, 0.8291942492773791)",0.9418260793493501
18,1000018,217.0,True,300,84,3.1643529155704413,2.3354866969255,"(-0.7789836384702132, -0.7500078160277028)","(0.8359879712703817, 0.7877127318758786)",0.7380613854521594
19,1000019,224.0,True,300,77,2.2089937872483723,1.8767144629423402,"(-0.09347463811983076, 0.7687442939396321)","(0.8840994750280944, -0.996015294111607)",0.8495788778473954
20,1000020,228.0,True,300,73,2.0093523424312134,1.8960357139169721,"(0.957021565837876, 0.8403232385934718)","(-0.053626490787756, -1.1533162415829064)",0.9436053965641815
21,1000021,234.0,True,300,67,2.6401235674490175,2.107480037106538,"(-1.0920099191105077, -1.0479596860765703)","(1.109612802196493, 0.010429365241071908)",0.7982505300472966
22,1000022,228.0,True,300,73,2.1569854307693457,2.0687612102800825,"(1.1303234849854376, 1.0934008202364405)","(-0.10218309813274767, -0.8960256703351812)",0.9590983697753602
23,1000023,0.0,False,300,,1.7941496960752679,2.832797715253761,"(0.10571894219860428, 0.8177355912335362)","(-0.8960589739141526, -1.1370952266754706)",
24,1000024,240.0,True,300,61,1.7851456010675462,1.641227766016836,"(1.117756415850815, 1.1439159353762745)","(-0.9379632959449571, 0.9540394460031347)",0.9193803379597468
25,1000025,267.0,True,300,34,1.1025046860238803,1.0050917787211613,"(-0.16717286488974165, -0.9953637620071333)","(1.0500469609556422, -0.22735132223226806)",0.9116439970391119
26,1000026,240.0,True,300,61,1.967041455683321,1.7040569415042075,"(1.0681490916332572, 0.8023239819013355)","(-1.0597684340895965, 0.922936061695784)",0.8663045390226631
27,1000027,289.0,True,300,12,0.1902735963387091,0.17905694150420948,"(0.9925404832229593, -0.24398983740277141)","(1.1517841687991628, -0.8503876403944852)",0.9410498616185681
28,1000028,227.0,True,300,74,2.2243628258420274,1.8985157486116178,"(0.8942404732929252, 0.13363081788938336)","(-1.1408042861046577, 1.0446560197333312)",0.8535099249795002
29,1000029,238.0,True,300,63,1.5026831742040683,1.428398590529465,"(1.0497726414055228, -1.1449807279698316)","(-0.7876500410048815, -0.8911451121218853)",0.9505653720293036
30,1000030,241.0,True,300,60,1.191193864431768,1.0579912177625654,"(-0.12111508120063519, 0.904708520206666)","(0.7757263883211754, -0.12024302267869652)",0.8881771887460621
31,1000031,231.0,True,300,70,2.604838055528642,2.224038774053281,"(1.1595639445214367, -1.139432500713627)","(-0.1969547814181622, 0.9282279514688769)",0.8538107654458085
32,1000032,188.0,True,300,113,3.2320822876805653,3.0158906757344113,"(1.127015191898848, 0.9377934621741972)","(-1.202106102787887, -0.9427688623446786)",0.933110733977847
33,1000033,0.0,False,300,,1.8866346136449457,2.8695111538007714,"(0.2382092218779729, 0.8804726047675387)","(-1.110256687954068, -0.7631361687818161)",
34,1000034,243.0,True,300,58,1.6060151047129287,1.5581138830084174,"(-0.9343054138344531, -0.9356294915617984)","(1.0535262915187014, -1.0978259253583562)",0.9701738660091409
35,1000035,274.0,True,300,27,0.6515150265848308,0.4500000000000001,"(1.1508173939223743, -0.01713559225674488)","(1.085568192491471, -0.9085342543134849)",0.6906978068623374
36,1000036,161.0,True,300,140,4.884594819848794,4.425030335355206,"(-1.2420508318574908, -0.8800458536382145)","(-1.194808250893988, 1.0068844947590878)",0.9059155362024861
37,1000037,213.0,True,300,88,2.8186937465600796,2.584828345950756,"(0.9280548547889936, -1.0268893052516816)","(-0.7565518922329351, 0.8364769636259789)",0.9170305745720932
38,1000038,207.0,True,300,94,3.834528536715493,3.0679422289591733,"(-1.099000760750412, -0.8564670737783278)","(0.93786753697942, 1.1653022223159974)",0.8000832956603975
39,1000039,280.0,True,300,21,0.46634119129782375,0.4472135954999579,"(0.04242921454432569, 0.8118181357047414)","(-0.7531921064073427, 1.1914761385722317)",0.9589836880061273
40,1000040,239.0,True,300,62,1.9837060229207901,1.929578270956174,"(0.16056901378171806, -1.2480919963299688)","(0.22582239227562423, 0.7760342264230129)",0.9727138238533354
41,1000041,279.0,True,300,22,0.44017159872435374,0.4312658056650537,"(0.7536758678282087, 0.10227430201681043)","(1.1934918380352553, 0.8551017493914017)",0.9797674518639784
42,1000042,262.0,True,300,39,0.6214811539670796,0.5290569415042096,"(0.863680742414508, 1.1242738835596315)","(-0.09846036753712106, 1.0701441636854137)",0.8512839659370173
43,1000043,247.0,True,300,54,1.9101771393216878,1.7025334442632447,"(-0.9798879296490071, -1.1309143411407538)","(0.8419666733991373, -0.1633305088724164)",0.8912961050658483
44,1000044,241.0,True,300,60,1.7129284472612796,1.6283985905294642,"(-1.110557821847047, -1.2071364590562874)","(0.9443986848493842, -0.9623687068420197)",0.95065184604356
45,1000045,292.0,True,300,9,0.12621187391424227,0.1,"(1.0726963432631704, 0.23924604646735848)","(1.0640344413491138, 0.7878579809705415)",0.792318479226031
46,1000046,278.0,True,300,23,0.45838427773603074,0.39122776601683795,"(0.7872095128447305, -0.9967604025353909)","(0.943208907546812, -0.18275209427435113)",0.8534929861668027
47,1000047,267.0,True,300,34,0.7392924309681633,0.6883572314711708,"(-0.15732890712204894, 1.0262179304247099)","(-1.2478957355644622, 0.7738044655417053)",0.9311027715645772
48,1000048,0.0,False,300,,2.047820562391778,2.7925748033215356,"(-0.8456534783543095, 0.9989679160198354)","(0.08865011135674389, -0.8892944427992356)",
49,1000049,227.0,True,300,74,1.8058734632234568,1.7494390718535588,"(-1.0546670218056766, 0.7713043058644282)","(0.8298303562848478, 0.11222652975086217)",0.9687495317256817
