round,steps,steps_this_call,eps,tb_loss,behaviour_return,behaviour_success
1,2400,2400,0.5,4365.247216796875,85.25,0.875
2,4800,4800,0.4928,73.40427913665772,35.25,0.75
3,7200,7200,0.4856,25.738253164291383,29.125,0.75
4,9600,9600,0.4784,15.902652990818023,39.375,0.5
5,12000,12000,0.4712,25.414778661727905,19.625,0.5
6,14400,14400,0.46399999999999997,16.360994148254395,60.0,0.75
7,16800,16800,0.4568,13.586022269725799,23.375,0.375
8,19200,19200,0.4496,24.050497925281526,35.0,0.75
9,21600,21600,0.4424,34.890078926086424,11.0,0.25
10,24000,24000,0.43520000000000003,16.930512535572053,54.75,0.75
11,26400,26400,0.428,11.643271493911744,9.875,0.625
12,28800,28800,0.4208,10.396150636672974,19.75,0.625
13,31200,31200,0.41359999999999997,19.129817390441893,46.875,0.75
14,33600,33600,0.4064,8.008287143707275,47.625,0.875
15,36000,36000,0.3992,15.176891922950745,28.125,0.75
16,38400,38400,0.392,12.945425438880921,35.25,0.5
17,40800,40800,0.3848,11.380604648590088,43.25,0.75
18,43200,43200,0.3776,14.159756350517274,27.25,0.375
19,45600,45600,0.3704,15.577098155021668,40.5,0.75
20,48000,48000,0.36319999999999997,10.438697791099548,32.0,0.75
21,50400,50400,0.356,11.916071105003358,55.5,0.75
22,52800,52800,0.3488,11.660386538505554,27.5,0.5
23,55200,55200,0.3416,18.000839591026306,18.125,0.5
24,57600,57600,0.33440000000000003,26.02128448486328,36.875,0.625
25,60000,60000,0.3272,14.291330432891845,26.0,0.625
26,62400,62400,0.31999999999999995,11.086232995986938,28.375,0.625
27,64800,64800,0.31279999999999997,8.620689177513123,77.875,1.0
28,67200,67200,0.3056,24.204800295829774,32.0,0.5
29,69600,69600,0.2984,13.802698469161987,50.875,0.75
30,72000,72000,0.2912,15.189019966125489,19.75,0.75
31,74400,74400,0.28400000000000003,15.135048055648804,28.375,0.625
32,76800,76800,0.2768,24.92761743068695,30.0,0.5
33,79200,79200,0.26959999999999995,23.860834646224976,18.875,0.5
34,81600,81600,0.26239999999999997,17.246096301078797,8.875,0.375
35,84000,84000,0.2552,21.501787090301512,21.25,0.375
36,86400,86400,0.24799999999999994,10.773983561992646,31.625,0.625
37,88800,88800,0.24080000000000001,15.687531447410583,15.375,0.5
38,91200,91200,0.23360000000000003,14.460492396354676,17.375,0.75
39,93600,93600,0.2264,21.83222985267639,40.125,0.625
40,96000,96000,0.2192,18.460891461372377,36.875,0.625
41,98400,98400,0.21199999999999997,31.119320726394655,12.75,0.25
42,100800,100800,0.20479999999999998,12.0367751121521,27.5,0.625
43,103200,103200,0.1976,14.615293526649475,0.5,0.125
44,105600,105600,0.1904,15.637385964393616,18.125,0.5
45,108000,108000,0.18320000000000003,11.795078206062318,34.0,0.875
46,110400,110400,0.176,14.85948429107666,2.625,0.125
47,112800,112800,0.1688,16.96348123550415,47.625,0.625
48,115200,115200,0.16159999999999997,10.103252816200257,26.5,0.75
