phase,steps_in_phase,total_steps,mean_reward,success_rate,mean_steps_to_goal,mean_path_efficiency,return_std,n_episodes
finetune,0,0,173.4,0.8666666666666667,71.65384615384616,0.801588800482456,90.87224833380859,30
finetune,16800,16800,111.0,0.7666666666666667,62.869565217391305,0.8029428576446069,106.33908030446756,30
finetune,33600,33600,66.2,0.7,60.333333333333336,0.7227034072631943,89.06735150125591,30
finetune,50400,50400,64.06666666666666,0.7666666666666667,106.8695652173913,0.6494369142950172,69.66517624760019,30
finetune,67200,67200,66.7,0.5333333333333333,96.0,0.7688935329233114,79.5600618921068,30
finetune,84000,84000,48.333333333333336,0.43333333333333335,88.61538461538461,0.7512975603838518,82.6819136847637,30
finetune,100800,100800,43.13333333333333,0.5333333333333333,103.75,0.6358420920748195,59.18628297125968,30
finetune,117600,117600,24.733333333333334,0.43333333333333335,67.61538461538461,0.7391231837929157,37.702038116803706,30
finetune,134400,134400,42.93333333333333,0.43333333333333335,66.0,0.7039941647350562,76.77146260990713,30
finetune,151200,151200,15.9,0.23333333333333334,35.285714285714285,0.8389079277635757,51.499815868435476,30
finetune,168000,168000,28.366666666666667,0.4,62.333333333333336,0.7477972858166447,57.357609802874904,30
finetune,184800,184800,67.36666666666666,0.7666666666666667,72.6086956521739,0.6664941923257491,93.24956626813552,30
finetune,201600,201600,41.5,0.5333333333333333,93.75,0.633681967937741,71.31801049307009,30
finetune,218400,218400,42.8,0.5,53.46666666666667,0.6888817396470707,80.32065049880835,30
finetune,235200,235200,89.66666666666667,0.8,67.0,0.775428217079508,90.27709578286458,30
finetune,252000,252000,45.43333333333333,0.4666666666666667,55.42857142857143,0.7693189889004416,77.58496269755892,30
finetune,268800,268800,124.13333333333334,0.8666666666666667,62.96153846153846,0.8010676974814779,108.99501201283552,30
finetune,285600,285600,59.06666666666667,0.5,49.06666666666667,0.7966978777014387,86.5754338546821,30
finetune,300000,300000,100.3,0.8333333333333334,76.52,0.6600311865769423,91.96706681910837,30
