round,steps,steps_this_call,eps,tb_loss,behaviour_return,behaviour_success
1,2400,2400,0.5,4640.130101585388,11.125,0.625
2,4800,4800,0.4928,156.69346995353698,28.5,0.375
3,7200,7200,0.4856,451.6374986410141,18.5,0.25
4,9600,9600,0.4784,11.363358306884766,12.0,0.25
5,12000,12000,0.4712,10.570984315872192,38.875,0.75
6,14400,14400,0.46399999999999997,194.33961993455887,36.0,0.75
7,16800,16800,0.4568,9.844848322868348,24.75,0.625
8,19200,19200,0.4496,12.122536079585553,18.0,0.5
9,21600,21600,0.4424,17.484996604919434,24.625,0.5
10,24000,24000,0.43520000000000003,11.430637919902802,18.75,0.5
11,26400,26400,0.428,13.289663720130921,47.875,0.625
12,28800,28800,0.4208,13.096049642562866,15.75,0.5
13,31200,31200,0.41359999999999997,19.098297023773192,13.375,0.25
14,33600,33600,0.4064,15.477013206481933,38.0,0.75
15,36000,36000,0.3992,20.16923223733902,28.875,0.625
16,38400,38400,0.392,17.258940935134888,27.375,0.5
17,40800,40800,0.3848,17.448258996009827,16.0,0.375
18,43200,43200,0.3776,11.828241896629333,30.0,0.75
19,45600,45600,0.3704,17.47012028694153,11.75,0.25
20,48000,48000,0.36319999999999997,10.967715406417847,12.75,0.5
21,50400,50400,0.356,10.221534919738769,38.25,0.625
22,52800,52800,0.3488,12.826509046554566,26.875,0.5
23,55200,55200,0.3416,15.534083700180053,22.375,0.25
24,57600,57600,0.33440000000000003,18.533904790878296,5.375,0.25
25,60000,60000,0.3272,20.78011198043823,11.5,0.375
26,62400,62400,0.31999999999999995,14.313146185874938,17.5,0.5
27,64800,64800,0.31279999999999997,15.371256804466247,19.625,0.375
28,67200,67200,0.3056,11.380326509475708,7.25,0.25
29,69600,69600,0.2984,15.975108170509339,17.75,0.5
30,72000,72000,0.2912,15.731046628952026,36.25,0.625
31,74400,74400,0.28400000000000003,13.02878634929657,25.375,0.5
32,76800,76800,0.2768,14.82246117591858,49.875,0.75
33,79200,79200,0.26959999999999995,20.143031191825866,8.75,0.25
34,81600,81600,0.26239999999999997,14.515385818481445,44.0,0.875
35,84000,84000,0.2552,9.102585005760194,13.875,0.375
36,86400,86400,0.24799999999999994,20.211987590789796,9.875,0.25
37,88800,88800,0.24080000000000001,18.897492456436158,34.0,0.625
38,91200,91200,0.23360000000000003,24.528321290016173,38.25,0.625
39,93600,93600,0.2264,11.782552099227905,18.0,0.625
40,96000,96000,0.2192,11.27641339302063,16.625,0.625
41,98400,98400,0.21199999999999997,19.992888736724854,13.25,0.625
42,100800,100800,0.20479999999999998,18.343089962005614,16.75,0.5
43,103200,103200,0.1976,14.829837417602539,44.75,0.625
44,105600,105600,0.1904,13.41968014240265,28.375,0.5
