round,steps,steps_this_call,eps,tb_loss,behaviour_return,behaviour_success
1,2400,2400,0.5,4893.735544586181,20.125,0.25
2,4800,4800,0.4928,33.85907715559006,2.25,0.125
3,7200,7200,0.4856,12.140538012981414,35.875,0.625
4,9600,9600,0.4784,16.760302233695985,14.125,0.5
5,12000,12000,0.4712,7.3548535227775576,18.375,0.375
6,14400,14400,0.46399999999999997,13.926883113384246,21.25,0.625
7,16800,16800,0.4568,9.80907956957817,12.375,0.25
8,19200,19200,0.4496,11.52178771495819,26.125,0.5
9,21600,21600,0.4424,13.304047524929047,10.25,0.375
10,24000,24000,0.43520000000000003,10.326494324207307,39.375,0.75
11,26400,26400,0.428,6.833151072263718,15.5,0.5
12,28800,28800,0.4208,19.982892203330994,9.75,0.375
13,31200,31200,0.41359999999999997,11.787276804447174,31.75,0.75
14,33600,33600,0.4064,12.803108763694762,14.625,0.375
15,36000,36000,0.3992,10.957736992835999,29.625,0.5
16,38400,38400,0.392,14.02508602142334,0.0,0.0
17,40800,40800,0.3848,11.07877892255783,31.75,0.625
18,43200,43200,0.3776,14.578695797920227,17.75,0.375
19,45600,45600,0.3704,16.93569359779358,26.375,0.5
20,48000,48000,0.36319999999999997,13.655710148811341,9.375,0.25
21,50400,50400,0.356,12.648402118682862,40.875,0.75
22,52800,52800,0.3488,7.925574564933777,21.5,0.625
23,55200,55200,0.3416,19.577944946289062,34.375,0.5
24,57600,57600,0.33440000000000003,13.52351372241974,17.875,0.5
25,60000,60000,0.3272,16.044976568222047,8.625,0.125
26,62400,62400,0.31999999999999995,16.891919457912444,14.375,0.125
27,64800,64800,0.31279999999999997,18.533011388778686,34.5,0.5
28,67200,67200,0.3056,29.2331702709198,18.75,0.5
29,69600,69600,0.2984,16.50467178821564,19.5,0.375
30,72000,72000,0.2912,11.741324973106384,6.0,0.375
31,74400,74400,0.28400000000000003,8.886387991905213,21.5,0.625
32,76800,76800,0.2768,12.502203488349915,10.875,0.625
33,79200,79200,0.26959999999999995,15.083055925369262,35.75,0.375
34,81600,81600,0.26239999999999997,9.154711854457855,58.875,1.0
35,84000,84000,0.2552,15.270618176460266,29.875,0.375
36,86400,86400,0.24799999999999994,11.71875615119934,22.375,0.5
