episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,0.0,False,300,,3.5840375712873622,8.93669564783703,"(-4.406179305557912, 3.1084305835405575)","(-1.6457343702490923, -2.9784915915009607)",
1,1000001,0.0,False,300,,3.7651251547318814,4.656881311104547,"(-4.639400243055864, 3.1057251651621436)","(-3.2621835826788352, -1.096705260354377)",
2,1000002,0.0,False,300,,3.797764406960559,8.751315786567242,"(-4.664086400753607, 3.173688797499511)","(0.6766902921978362, -3.1585889373779077)",
3,1000003,0.0,False,300,,3.768220661663893,6.138885732977114,"(-4.459845642602395, 3.2084060231353866)","(0.5401374200754399, 3.0096244610355893)",
4,1000004,0.0,False,300,,4.156189846431091,10.072205346406584,"(-4.291724733280553, 2.8198842512640625)","(4.334695372741407, 1.0258664000726552)",
5,1000005,0.0,False,300,,4.022274883515008,9.071784583769679,"(-4.732415424501539, 2.7985663981094993)","(-1.5454622785911933, -2.7743742410624597)",
6,1000006,0.0,False,300,,6.897109330430964,10.28460551016361,"(-4.6865196335989605, 3.1706863397654685)","(3.5997990383079492, -2.787192484950531)",
7,1000007,0.0,False,300,,6.964678159644248,10.353538860490175,"(-4.5305513185199215, 2.9146529824136884)","(3.735027812087353, -3.222845992410747)",
8,1000008,0.0,False,300,,6.903693371790515,9.966617116259112,"(-4.2708097116831585, 3.0212193308664848)","(3.6364836377412635, -3.0660573439834966)",
9,1000009,0.0,False,300,,3.526891271809979,8.600183174299143,"(-4.282672474353129, 2.931124436793959)","(-1.4682839665427543, -2.9377910309245894)",
10,1000010,0.0,False,300,,5.1078231967596714,8.593860254533565,"(-4.641526314741136, 3.0031567019516547)","(0.49449740033415573, -3.150090110875475)",
11,1000011,0.0,False,300,,3.465055515702453,4.415522362644876,"(-4.259241635399014, 2.957017948907684)","(-3.4241760362792135, -0.8925877557187222)",
12,1000012,0.0,False,300,,3.713046485775936,4.523581555332421,"(-4.551079823924337, 2.944656018054312)","(-3.30643380392312, -1.2406163518161244)",
13,1000013,0.0,False,300,,3.5115161245937654,8.969256232444105,"(-4.444596283889579, 3.1622096894297287)","(-1.5781456492369095, -3.086005786859716)",
14,1000014,0.0,False,300,,3.5310112807333556,4.660486696925492,"(-4.501706398174363, 3.224635635577469)","(-3.352074223110432, -0.9319243842955891)",
15,1000015,0.0,False,300,,3.6154938509087384,8.031031079046187,"(-4.472508373384985, 3.0392742131326)","(0.49025174660076004, -2.7549766751993947)",
16,1000016,0.0,False,300,,3.918871511000023,3.9483158724128655,"(-4.672796671777949, 2.757778846779459)","(-3.563523631006677, -0.8564464669273488)",
17,1000017,0.0,False,300,,0.6919577926964475,10.488433112423419,"(-4.367828167622385, 2.761278732843124)","(4.651472422008036, 0.8291942492773791)",
18,1000018,0.0,False,300,,4.002541401160634,10.17887986221966,"(-4.278983638470213, 3.249992183972297)","(4.335987971270382, 0.7877127318758786)",
19,1000019,0.0,False,300,,6.7259964378982104,9.990721634637673,"(-4.59347463811983, 2.768744293939632)","(3.384099475028094, -2.996015294111607)",
20,1000020,0.0,False,300,,5.150273051914823,8.4654616640041,"(-4.542978434162124, 2.840323238593472)","(0.446373509212244, -3.1533162415829064)",
21,1000021,0.0,False,300,,3.758634198597755,4.34065354508771,"(-4.592009919110508, 2.9520403139234297)","(-3.390387197803507, -0.9895706347589281)",
22,1000022,0.0,False,300,,4.624675451875838,8.0600880205504,"(-4.369676515014563, 3.0934008202364405)","(0.3978169018672523, -2.8960256703351814)",
23,1000023,0.0,False,300,,3.6339979573330097,8.723955825498322,"(-4.394281057801396, 2.8177355912335362)","(-1.3960589739141525, -3.137095226675471)",
24,1000024,0.0,False,300,,3.8189004559936186,6.015922929924949,"(-4.382243584149185, 3.1439159353762745)","(0.5620367040550429, 2.9540394460031347)",
25,1000025,0.0,False,300,,3.7693848503251455,4.44765079490629,"(-4.667172864889742, 3.004636237992867)","(-3.449953039044358, -1.227351322232268)",
26,1000026,0.0,False,300,,3.9506730414249276,5.924598804574053,"(-4.431850908366743, 2.8023239819013352)","(0.4402315659104034, 2.922936061695784)",
27,1000027,0.0,False,300,,6.857447448711491,10.107523621583631,"(-4.507459516777041, 2.7560101625972284)","(3.651784168799163, -2.8503876403944854)",
28,1000028,0.0,False,300,,3.955371165404363,6.2173328950939535,"(-4.605759526707075, 3.1336308178893835)","(0.3591957138953423, 3.044656019733331)",
29,1000029,0.0,False,300,,3.692327233120118,8.579898466778095,"(-4.450227358594477, 2.8550192720301686)","(-1.2876500410048815, -2.8911451121218854)",
30,1000030,0.0,False,300,,3.7505238429146033,4.047455949249683,"(-4.621115081200635, 2.904708520206666)","(-3.7242736116788246, -1.1202430226786966)",
31,1000031,0.0,False,300,,4.147182786363784,3.969187196020041,"(-4.3404360554785635, 2.8605674992863728)","(-0.6969547814181623, 0.9282279514688769)",
32,1000032,0.0,False,300,,3.5467259620533347,8.937353998811773,"(-4.372984808101152, 2.9377934621741972)","(-1.702106102787887, -2.9427688623446784)",
33,1000033,0.0,False,300,,3.4475251789703405,8.671784583769686,"(-4.261790778122027, 2.880472604767539)","(-1.610256687954068, -2.763136168781816)",
34,1000034,0.0,False,300,,6.91039533157503,9.955265273067388,"(-4.323752582464197, 3.065694586165547)","(3.5535262915187014, -3.0978259253583564)",
35,1000035,0.0,False,300,,6.100755888849919,9.931206919634143,"(-4.349182606077626, 2.9828644077432553)","(3.585568192491471, -2.908534254313485)",
36,1000036,0.0,False,300,,4.059598214104303,6.312422756958394,"(-4.74205083185749, 3.1199541463617857)","(0.30519174910601216, 3.006884494759088)",
37,1000037,0.0,False,300,,3.966818763575493,6.213641428281241,"(-4.571945145211006, 2.973110694748318)","(0.7434481077670649, 2.836476963625979)",
38,1000038,0.0,False,300,,3.8651800442404443,10.504660878440275,"(-4.599000760750412, 3.1435329262216722)","(4.43786753697942, 1.1653022223159974)",
39,1000039,0.0,False,300,,4.105460780856459,6.4747294669302295,"(-4.537553845761835, 3.0424292145443257)","(0.7468078935926573, 3.1914761385722317)",
40,1000040,0.0,False,300,,4.410055003544251,4.396692711570122,"(-4.339430986218282, 2.751908003670031)","(-0.27417760772437577, 0.7760342264230129)",
41,1000041,0.0,False,300,,3.8564261095524515,10.949287234986567,"(-4.746324132171791, 3.10227430201681)","(4.693491838035255, 0.8551017493914017)",
42,1000042,0.0,False,300,,4.323733347071148,4.3220525074626694,"(-4.636319257585492, 3.1242738835596318)","(-0.5984603675371211, 1.0701441636854137)",
43,1000043,0.0,False,300,,3.7018105782635136,4.124929873389399,"(-4.479887929649007, 2.8690856588592464)","(-3.6580333266008624, -1.1633305088724164)",
44,1000044,0.0,False,300,,6.932304966280093,10.031497844971245,"(-4.610557821847047, 2.7928635409437126)","(3.444398684849384, -2.9623687068420197)",
